iter	Passed	Remaining
0	1	113
1	2	105
2	3	97
3	4	101
4	5	103
5	6	99
6	7	95
7	8	94
8	9	92
9	10	90
10	10	87
11	11	86
12	12	84
13	13	82
14	14	81
15	15	79
16	16	78
17	16	76
18	17	75
19	19	76
20	20	76
21	21	75
22	22	73
23	22	72
24	23	71
25	24	70
26	25	68
27	26	67
28	27	66
29	28	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	35	59
37	36	58
38	36	57
39	37	56
40	39	56
41	39	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	47
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	66	26
71	67	26
72	67	25
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	85	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	90	1
98	91	0
99	92	0
