iter	Passed	Remaining
0	149	149138
1	151	75561
2	153	51011
3	155	38672
4	158	31610
5	160	26670
6	163	23164
7	165	20473
8	166	18366
9	168	16694
10	170	15349
11	173	14279
12	175	13350
13	177	12505
14	179	11757
15	180	11108
16	182	10530
17	183	10017
18	186	9624
19	188	9229
20	190	8859
21	191	8509
22	192	8192
23	194	7893
24	195	7614
25	196	7355
26	197	7116
27	198	6898
28	200	6718
29	202	6540
30	203	6362
31	204	6186
32	205	6022
33	206	5861
34	206	5707
35	207	5561
36	208	5423
37	209	5291
38	209	5166
39	210	5049
40	211	4943
41	212	4841
42	213	4747
43	214	4657
44	215	4568
45	216	4482
46	216	4398
47	217	4316
48	218	4237
49	218	4159
50	219	4085
51	220	4012
52	220	3943
53	221	3876
54	221	3812
55	222	3750
56	223	3690
57	223	3634
58	224	3579
59	225	3525
60	225	3473
61	226	3423
62	226	3375
63	227	3332
64	229	3298
65	230	3257
66	231	3223
67	232	3182
68	232	3142
69	233	3102
70	234	3064
71	234	3026
72	235	2990
73	236	2956
74	237	2923
75	237	2889
76	238	2857
77	238	2824
78	239	2793
79	240	2763
80	240	2733
81	241	2705
82	242	2673
83	243	2650
84	244	2633
85	245	2613
86	247	2595
87	248	2571
88	249	2548
89	249	2524
90	250	2500
91	251	2477
92	251	2454
93	252	2431
94	252	2409
95	253	2388
96	254	2369
97	255	2350
98	256	2330
99	256	2310
100	257	2292
101	258	2274
102	259	2259
103	260	2246
104	262	2239
105	263	2223
106	264	2207
107	265	2190
108	266	2174
109	267	2166
110	268	2153
111	269	2138
112	270	2124
113	271	2109
114	272	2096
115	275	2098
116	276	2087
117	278	2082
118	279	2072
119	281	2065
120	282	2052
121	283	2038
122	284	2025
123	284	2012
124	285	1999
125	287	1997
126	289	1990
127	291	1983
128	293	1983
129	294	1971
130	295	1961
131	296	1949
132	297	1937
133	298	1927
134	299	1917
135	300	1906
136	300	1894
137	301	1882
138	302	1870
139	303	1863
140	305	1861
141	307	1860
142	309	1855
143	311	1850
144	312	1841
145	313	1831
146	314	1822
147	315	1813
148	315	1803
149	317	1798
150	319	1795
151	323	1803
152	325	1803
153	326	1795
154	327	1785
155	328	1777
156	330	1773
157	331	1764
158	335	1776
159	339	1780
160	339	1770
161	340	1763
162	341	1755
163	342	1747
164	344	1742
165	345	1733
166	345	1724
167	346	1716
168	349	1716
169	352	1719
170	353	1713
171	354	1706
172	355	1698
173	356	1691
174	357	1683
175	358	1679
176	359	1671
177	360	1664
178	364	1673
179	368	1679
180	370	1674
181	371	1668
182	373	1665
183	374	1658
184	375	1652
185	377	1651
186	380	1654
187	381	1648
188	382	1642
189	383	1635
190	384	1628
191	385	1622
192	386	1615
193	387	1609
194	388	1602
195	392	1612
196	395	1611
197	396	1606
198	397	1600
199	398	1593
200	399	1586
201	400	1580
202	400	1573
203	401	1567
204	402	1561
205	403	1554
206	404	1548
207	409	1560
208	411	1555
209	411	1549
210	412	1542
211	413	1535
212	413	1528
213	414	1522
214	415	1515
215	415	1508
216	416	1502
217	416	1495
218	417	1488
219	418	1482
220	418	1476
221	419	1470
222	420	1465
223	421	1461
224	422	1456
225	424	1452
226	425	1448
227	426	1444
228	427	1438
229	427	1432
230	428	1426
231	429	1420
232	429	1415
233	430	1409
234	431	1403
235	431	1398
236	432	1392
237	433	1387
238	434	1382
239	434	1376
240	435	1372
241	436	1368
242	437	1364
243	439	1360
244	440	1357
245	441	1352
246	442	1347
247	443	1343
248	443	1338
249	444	1332
250	444	1327
251	445	1322
252	446	1317
253	446	1311
254	447	1306
255	447	1301
256	448	1296
257	449	1291
258	449	1286
259	450	1283
260	452	1280
261	453	1277
262	454	1274
263	455	1270
264	456	1266
